german,english
schon,already
gut,good
zu,to
kalt,cold
kindergarten,kindergarten
sie,she
unter,under
schul,school
kaffee,coffee
grunen tee,Green tea
morgen,morning
trunken,drunk
buch,book
augen,eyes
alt,old
ohr,ear
bilig,cheap
sonnig,sunny
klein,small
klug,smart
windig,windy
regen,rain
nebel,fog
neu ,new
nett,kind
schell,rapid
selten,rarely
zeit,time
ein,a
ich,I
sehr,very
guten tag,Good day
abend,evening
abendessen,dinner
zu,to
apfel,apple
koch,cook
milch,milk
braun,brown
ersbe,first
rosa,pink
Mehl ,Flour
Brot,Bread
arm,poor
uns,us
nebig,faded
spiele,gaming
kommen,come
wann,When
